Date | Temperature | Humidity | Light | Bus Voltage | Shunt Voltage | Bus Current | Bus Power
2023/01/29 23:14:16 | 3.1450 (0) | 25.8247 dC | 56.5144 rH | 33.3333 lx | 0.0000 V | -0.0020 mV | -0.0300 mA | 0.0000 mW
2023/01/29 23:14:17 | 3.1450 (0) | 25.8335 dC | 56.4840 rH | 34.1667 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:14:18 | 3.1450 (0) | 25.8398 dC | 56.5090 rH | 34.1667 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:14:19 | 3.1450 (0) | 25.8348 dC | 56.4968 rH | 34.1667 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:14:20 | 3.1450 (0) | 25.8099 dC | 56.5035 rH | 34.1667 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:14:22 | 3.1450 (0) | 25.8091 dC | 56.4922 rH | 35.0000 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:14:23 | 3.1450 (0) | 25.8244 dC | 56.5047 rH | 35.0000 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:14:24 | 3.1450 (0) | 25.7978 dC | 56.4960 rH | 20.8333 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:14:25 | 3.1450 (0) | 25.8108 dC | 56.5233 rH | 0.0000 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:14:26 | 3.1450 (0) | 25.8018 dC | 56.5006 rH | 28.3333 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:14:27 | 3.1450 (0) | 25.8110 dC | 56.5600 rH | 32.5000 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:14:28 | 3.1450 (0) | 25.7984 dC | 56.5476 rH | 35.8333 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:14:30 | 3.1450 (0) | 25.8512 dC | 56.6388 rH | 26.6667 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
